sample_id,pad_name,level,level_index,severity,severity_label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,brightness,contrast,base_r,base_g,base_b,blurred
25,Leukocytes,Negative,0,0,Normal,210.8477,186.8291,193.8779,7.3315,7.1872,7.1594,121.5586,30.7832,210.998,71.1781,10.7219,7.1567,194.8281,4.8117,195,200,210,0
26,Leukocytes,Negative,0,0,Normal,207.8066,224.4854,230.0986,7.1295,7.104,7.3268,97.4453,26.5947,231.958,14.2063,9.6709,6.2071,220.1318,4.7466,195,200,210,0
27,Leukocytes,Negative,0,0,Normal,177.9736,176.0781,215.9883,7.0813,7.1922,7.2392,121.2422,50.6006,215.9883,6.6859,10.0072,7.2392,181.1904,4.8908,195,200,210,0
28,Leukocytes,Negative,0,0,Normal,208.6621,191.9033,208.9492,7.1759,7.103,7.1838,141.9404,25.3701,213.0078,31.9578,10.2359,5.8904,198.8594,4.7391,195,200,210,1
29,Leukocytes,Negative,0,0,Normal,193.376,208.4941,232.1406,7.1158,7.1521,7.2796,108.4746,42.6357,232.1406,7.5031,10.0803,7.2796,206.6641,4.7622,195,200,210,1
30,Leukocytes,Negative,0,0,Normal,185.1709,213.6777,213.1924,7.3661,7.2172,7.1249,89.542,37.748,217.5205,9.3802,10.753,5.8557,205.0977,4.8087,195,200,210,1
31,Leukocytes,Negative,0,0,Normal,212.9307,191.7598,202.4033,7.2906,7.1655,7.0412,133.5508,26.8818,213.6934,58.4793,10.3948,6.6393,199.2939,4.8231,195,200,210,0
32,Leukocytes,Negative,0,0,Normal,174.0791,215.8994,188.1035,7.2576,7.1156,7.1368,69.748,49.6152,215.8994,7.0037,10.5875,7.1156,200.2197,4.7532,195,200,210,1
33,Leukocytes,Negative,0,0,Normal,191.1621,183.8896,201.5928,2.6555,2.9945,2.7177,132.1914,22.4121,201.5967,6.014,5.0286,2.7104,188.0771,2.0129,195,200,210,1
34,Leukocytes,Negative,0,0,Normal,213.752,215.8398,191.9229,7.335,7.1679,7.3262,32.3467,31.4473,219.0791,11.844,10.5565,5.9771,212.498,4.8422,195,200,210,0
35,Leukocytes,Negative,0,0,Normal,185.1689,186.0098,235.4443,7.2308,7.1723,7.1611,119.5723,58.3164,235.4443,5.5224,8.9891,7.1611,191.3779,4.778,195,200,210,0
36,Leukocytes,Negative,0,0,Normal,187.3008,219.8438,191.7275,7.3003,7.1834,7.2635,63.625,40.29,219.8438,8.8015,9.6722,7.1834,206.9004,4.9165,195,200,210,0
37,Leukocytes,Negative,0,0,Normal,219.041,200.916,228.9697,2.7853,2.8758,2.729,139.4688,31.1865,228.9766,3.9117,4.2874,2.7167,209.5459,1.865,195,200,210,0
38,Leukocytes,Negative,0,0,Normal,190.4678,191.0752,195.0166,7.2847,7.3287,7.3379,101.0967,17.207,199.0029,45.9849,7.6986,5.0964,191.3496,4.813,195,200,210,0
39,Leukocytes,Negative,0,0,Normal,176.1885,197.8887,200.1816,7.3167,7.2219,7.1836,92.6201,33.8906,203.3516,11.9784,11.3319,5.9205,191.6543,4.8343,195,200,210,1
40,Leukocytes,Negative,0,0,Normal,178.3496,224.1436,202.0068,7.2647,7.2254,7.3391,75.5264,51.9014,224.1504,6.28,10.4722,7.215,207.9346,4.8526,195,200,210,1
41,Leukocytes,Negative,0,0,Normal,203.9102,199.0791,222.3281,7.2461,7.2143,7.1385,125.5898,29.0518,222.416,14.8359,10.178,7.0243,203.1729,4.7896,195,200,210,0
42,Leukocytes,Negative,0,0,Normal,186.832,183.1133,228.0898,7.3549,7.2066,7.2922,122.249,53.0117,228.0898,6.3512,9.4699,7.2922,189.3418,4.8022,195,200,210,1
43,Leukocytes,Negative,0,0,Normal,173.2334,196.2969,221.1152,7.4247,7.3216,7.3685,105.5859,55.0225,221.1152,6.0374,10.8053,7.3685,192.2295,4.9864,195,200,210,0
44,Leukocytes,Negative,0,0,Normal,186.2646,216.0391,225.3164,7.2744,7.1696,7.2285,96.7539,44.9717,226.3213,7.3353,10.394,6.4948,208.1943,4.8089,195,200,210,1
45,Leukocytes,Negative,0,0,Normal,202.1934,211.2578,222.9814,7.1409,7.2625,7.2721,106.7607,25.3896,223.5518,16.9457,9.8912,6.7446,209.8945,4.8648,195,200,210,1
46,Leukocytes,Negative,0,0,Normal,205.9619,210.7979,192.207,7.2739,7.276,7.241,41.3838,25.4111,213.1289,25.5475,10.2745,6.0623,207.2178,4.8134,195,200,210,0
47,Leukocytes,Negative,0,0,Normal,192.8643,203.5078,190.8691,7.1971,7.202,7.2832,61.2041,21.1074,204.6074,30.526,9.4253,6.2695,198.8838,4.8104,195,200,210,0
48,Leukocytes,Negative,0,0,Normal,194.085,210.249,214.541,7.121,7.2576,7.1217,95.9141,26.9219,216.9502,15.7496,10.5249,5.9449,205.8916,4.6995,195,200,210,1
49,Leukocytes,Negative,0,0,Normal,211.3535,221.0312,225.5557,2.663,2.5604,2.8102,99.3057,16.2334,225.751,7.515,4.1718,2.6044,218.6475,1.6938,195,200,210,0
50,Leukocytes,Negative,0,0,Normal,217.0381,212.9141,205.9316,7.3707,7.2484,7.1297,61.5215,18.5205,219.9863,57.5674,8.3879,5.6069,213.3545,4.7298,195,200,210,1
51,Leukocytes,Negative,0,0,Normal,199.3105,192.9453,202.9844,7.1657,7.2917,7.3055,118.2832,18.7393,205.9199,45.1828,8.7843,5.5535,195.9932,4.8919,195,200,210,1
52,Leukocytes,Negative,0,0,Normal,181.291,188.9629,211.0068,2.7602,3.0257,2.7587,112.4746,35.9521,211.0068,4.1154,4.4002,2.7587,189.1973,1.9173,195,200,210,1
53,Leukocytes,Negative,0,0,Normal,186.1406,208.6035,203.7109,7.2306,7.2906,7.0298,83.7773,29.6553,210.6914,13.4698,11.0025,6.1937,201.3271,4.8873,195,200,210,1
54,Leukocytes,Negative,0,0,Normal,205.0146,184.5957,193.2734,7.1692,7.3284,7.15,125.0498,27.3379,205.6289,65.2019,10.7451,6.6082,191.6748,4.854,195,200,210,1
55,Leukocytes,Negative,0,0,Normal,197.2109,206.9424,202.9785,7.2128,7.3556,7.2028,80.1953,18.2246,209.9561,34.4998,8.4447,5.5404,203.5811,4.9218,195,200,210,0
56,Leukocytes,Negative,0,0,Normal,195.0674,186.1084,223.0303,2.6306,2.8489,2.8573,127.1758,42.2012,223.0303,2.9266,4.2319,2.8573,192.9893,1.8421,195,200,210,1
57,Leukocytes,Negative,0,0,Normal,195.1895,209.1748,204.708,2.7662,2.8668,2.6962,80.7295,17.3076,209.415,8.3138,4.4183,2.6617,204.4941,1.9595,195,200,210,1
58,Leukocytes,Negative,0,0,Normal,195.0332,209.1611,228.0537,7.3407,7.54,7.2302,107.4453,37.1992,228.1133,9.3141,10.424,7.1511,207.0947,5.022,195,200,210,0
59,Leukocytes,Negative,0,0,Normal,202.2822,208.2178,227.8633,7.2097,7.3105,7.0526,113.457,30.5811,227.8916,11.911,9.674,7.0126,208.6816,4.7975,195,200,210,1
60,Leukocytes,Trace,1,1,Mild,198.084,177.8125,210.4883,2.748,2.7143,2.6984,138.6494,39.5566,210.4883,3.0502,4.4188,2.6984,187.5889,1.8567,185,175,195,0
61,Leukocytes,Trace,1,1,Mild,167.9912,190.1768,211.8623,7.2708,7.4093,7.3289,104.7969,52.5869,211.8701,6.6628,11.0974,7.3172,186.0039,5.0517,185,175,195,1
62,Leukocytes,Trace,1,1,Mild,162.1787,166.8223,170.0176,7.2863,7.3205,7.3439,97.2637,20.793,173.4248,38.4216,9.903,5.4549,165.8037,4.8577,185,175,195,1
63,Leukocytes,Trace,1,1,Mild,189.1328,164.8682,174.6592,2.7496,2.6315,2.8315,167.585,32.6992,189.1328,8.47,4.8057,2.7496,173.2412,1.8396,185,175,195,1
64,Leukocytes,Trace,1,1,Mild,205.8555,168.5166,210.6885,7.151,6.9032,7.2611,146.8721,53.0293,212.9326,6.7413,10.0906,6.1284,184.4893,4.69,185,175,195,1
65,Leukocytes,Trace,1,1,Mild,208.0459,178.4814,217.2598,7.0973,7.2731,7.2181,143.2139,46.3057,218.2568,7.3958,10.4451,6.4502,191.7471,4.7713,185,175,195,0
66,Leukocytes,Trace,1,1,Mild,171.3535,187.8408,187.9922,2.7139,2.8172,2.9282,90.2812,24.3105,189.4512,6.2924,4.6703,2.4394,182.9404,1.9247,185,175,195,0
67,Leukocytes,Trace,1,1,Mild,206.835,169.0664,208.3418,7.313,7.2084,7.1446,148.999,51.2539,211.7695,7.0275,10.576,5.8405,184.8564,4.8058,185,175,195,1
68,Leukocytes,Trace,1,1,Mild,164.0371,164.9414,185.7422,7.2428,7.2432,7.0737,118.5762,34.6621,185.7725,13.7482,11.427,7.0294,167.0547,4.854,185,175,195,1
69,Leukocytes,Trace,1,1,Mild,161.9863,199.9463,174.8154,2.635,2.8274,2.9481,70.0762,48.3584,199.9463,2.7793,4.7567,2.8274,185.7275,1.8214,185,175,195,1
70,Leukocytes,Trace,1,1,Mild,176.7559,200.1553,189.8086,7.0375,7.2705,7.3055,76.6787,31.2275,201.0762,14.1751,11.1058,6.5218,191.9912,4.8093,185,175,195,1
71,Leukocytes,Trace,1,1,Mild,187.083,192.0234,195.9209,2.6056,2.5429,2.765,102.0928,11.9912,196.2119,14.9123,4.3244,2.5158,190.9922,1.8087,185,175,195,1
72,Leukocytes,Trace,1,1,Mild,166.5625,185.1318,202.8496,7.2321,7.2927,7.1704,104.7031,45.5596,202.9258,8.117,11.5796,7.0766,181.5898,4.9584,185,175,195,0
73,Leukocytes,Trace,1,1,Mild,171.8779,199.959,197.2002,7.1679,7.1773,7.081,87.4639,38.6582,202.7432,9.6224,10.9423,6.0053,191.2246,4.881,185,175,195,1
74,Leukocytes,Trace,1,1,Mild,209.9883,152.7373,182.4121,7.3843,7.1105,7.2157,164.4629,69.2998,209.9883,4.9407,11.0664,7.3843,173.2344,4.6582,185,175,195,1
75,Leukocytes,Trace,1,1,Mild,173.1172,163.9189,182.4268,7.0391,7.2461,7.3546,131.168,28.2061,183.4102,25.1645,12.2107,6.5905,168.793,4.8283,185,175,195,0
76,Leukocytes,Trace,1,1,Mild,196.6484,185.8057,215.1328,7.0002,7.126,7.2165,130.7158,35.499,215.2129,10.4156,10.255,7.1126,192.3916,4.7676,185,175,195,1
77,Leukocytes,Trace,1,1,Mild,181.2744,179.7988,184.8887,7.061,7.1613,7.1108,106.0254,17.7354,188.5439,46.348,7.8409,5.0049,180.8105,4.7111,185,175,195,0
78,Leukocytes,Trace,1,1,Mild,162.7812,153.8213,197.2559,7.1926,7.2186,7.1188,125.8584,57.2168,197.2559,6.5393,11.0813,7.1188,161.4424,4.9199,185,175,195,0
79,Leukocytes,Trace,1,1,Mild,183.7246,151.0566,214.1387,2.8115,2.7277,2.6671,135.541,75.0967,214.1387,1.5272,4.0588,2.6671,168.0303,1.8377,185,175,195,0
80,Leukocytes,Trace,1,1,Mild,164.9287,195.9775,197.8945,7.1812,7.1423,7.2253,91.4766,45.8047,201.1982,8.488,10.8859,5.7718,186.9082,4.7911,185,175,195,1
81,Leukocytes,Trace,1,1,Mild,165.1924,151.8232,187.0176,7.1322,7.1218,7.1276,131.1436,48.2051,187.0254,8.4706,12.4484,7.1152,159.835,4.7223,185,175,195,1
82,Leukocytes,Trace,1,1,Mild,206.9619,193.1826,199.707,7.2857,7.3805,7.2776,115.8174,21.165,208.667,63.5979,9.3842,6.08,198.043,4.9871,185,175,195,0
83,Leukocytes,Trace,1,1,Mild,161.7021,185.2803,178.1631,2.6502,2.6292,2.619,81.127,32.4287,185.3125,4.1299,4.7845,2.58,177.4072,1.8182,185,175,195,1
84,Leukocytes,Trace,1,1,Mild,190.6602,150.8232,177.1387,7.1766,7.086,7.244,159.9043,53.3906,191.0215,7.2903,11.985,6.8252,165.7402,4.7332,185,175,195,1
85,Leukocytes,Trace,1,1,Mild,159.9717,183.8359,206.8486,7.276,7.1263,7.3673,104.7451,57.5449,206.8486,6.0191,11.2698,7.3673,179.3174,4.7283,185,175,195,0
86,Leukocytes,Trace,1,1,Mild,191.5557,194.4785,218.1289,2.886,2.6794,2.9443,116.9014,31.6602,218.1289,4.2474,4.0053,2.9443,196.2861,1.823,185,175,195,0
87,Leukocytes,Trace,1,1,Mild,184.8594,194.9521,192.0352,7.2296,7.3492,7.3421,82.582,19.8848,198.3652,34.0817,9.2293,5.4822,191.6006,4.848,185,175,195,0
88,Leukocytes,Trace,1,1,Mild,200.2529,163.957,169.6865,7.1894,7.4467,7.151,119.1533,48.4502,200.2529,77.3579,10.9904,7.1894,175.4707,4.9281,185,175,195,1
89,Leukocytes,Trace,1,1,Mild,201.1904,173.1865,174.1279,7.0194,7.2556,7.2355,91.582,39.9014,201.1904,82.283,10.792,7.0194,181.6787,4.8663,185,175,195,0
90,Leukocytes,Trace,1,1,Mild,165.1484,182.9785,176.8965,7.1319,7.2757,7.0551,79.876,27.9023,184.8809,20.0365,11.6298,6.0923,176.9609,4.7838,185,175,195,0
91,Leukocytes,Trace,1,1,Mild,179.0381,163.1992,208.1982,7.1475,7.2852,6.9267,130.2842,55.126,208.1982,6.1926,11.1348,6.9267,173.0508,4.8807,185,175,195,1
92,Leukocytes,Trace,1,1,Mild,182.2764,196.7949,214.041,7.1641,7.1892,7.3596,106.3779,38.0186,214.1729,9.5737,11.0917,7.2033,194.4141,4.7767,185,175,195,1
93,Leukocytes,Trace,1,1,Mild,205.4941,199.5547,190.9141,7.2248,6.9542,7.1263,53.1797,21.707,207.4209,57.0661,9.6715,5.7972,200.3379,4.6365,185,175,195,1
94,Leukocytes,Trace,1,1,Mild,197.0273,171.5029,169.7197,7.1407,7.2287,7.1422,74.8691,39.375,197.0273,80.2417,10.9999,7.1407,178.9355,4.7645,185,175,195,1
95,Leukocytes,Trace,1,1,Mild,192.1875,189.0498,197.583,7.2218,7.1093,7.145,113.1602,18.2559,200.1768,42.6915,8.2743,5.47,190.9639,4.7469,185,175,195,0
96,Leukocytes,Trace,1,1,Mild,182.3477,170.9775,190.0059,6.9756,7.1965,7.2004,135.0342,27.7441,191.3828,25.3366,11.4363,6.1726,176.5518,4.8837,185,175,195,1
97,Leukocytes,Trace,1,1,Mild,207.0029,181.9512,189.1797,7.1891,7.3067,7.0407,122.8057,32.501,207.0967,71.1249,10.9958,7.0708,190.251,4.8684,185,175,195,1
98,Leukocytes,Trace,1,1,Mild,189.123,185.5186,209.2998,7.175,7.1983,7.1901,123.8564,31.9326,209.332,12.3812,11.0653,7.1442,189.3008,4.7196,185,175,195,0
99,Leukocytes,Trace,1,1,Mild,173.0205,175.7617,191.998,7.1985,7.2412,7.1573,115.8057,29.207,192.207,17.1326,11.0406,6.9077,176.8076,4.7817,185,175,195,0
100,Leukocytes,Trace,1,1,Mild,189.6533,180.0967,182.1055,7.2156,7.3464,7.2879,96.7988,20.0088,191.709,66.916,9.2925,5.7268,183.1963,4.9371,185,175,195,0
101,Leukocytes,Trace,1,1,Mild,177.1494,162.9707,209.8926,7.2411,7.2234,7.3999,128.79,57.2344,209.8926,6.274,10.9057,7.3999,172.543,4.7502,185,175,195,1
102,Leukocytes,Trace,1,1,Mild,161.8408,162.1338,213.2285,2.8241,2.8741,2.6083,119.8408,63.1426,213.2285,2.2245,3.5853,2.6083,167.873,1.9689,185,175,195,1
103,Leukocytes,Trace,1,1,Mild,186.3057,188.6543,190.7588,7.2474,7.1628,7.0681,94.7969,17.2354,195.1553,44.6176,7.268,4.9773,188.1816,4.6848,185,175,195,0
104,Leukocytes,Trace,1,1,Mild,190.4922,173.2227,208.8516,7.1446,7.3354,7.1804,134.4756,43.4795,208.9092,8.2903,11.3199,7.104,182.4629,4.9237,185,175,195,1
105,Leukocytes,Trace,1,1,Mild,186.6426,167.416,169.9453,7.3023,7.2849,7.2579,104.0908,30.3154,186.8203,76.1627,11.6398,7.0983,173.46,4.8956,185,175,195,0
106,Leukocytes,Trace,1,1,Mild,186.0186,150.793,210.5693,7.2777,7.1675,7.0136,137.7793,72.2012,210.5693,4.6235,10.5711,7.0136,168.1279,4.8068,185,175,195,0
107,Leukocytes,Trace,1,1,Mild,167.9199,197.8877,198.1113,7.1267,7.311,7.11,90.2441,43.0215,202.1768,8.9501,11.0959,5.8121,188.9424,4.8597,185,175,195,0
108,Leukocytes,Trace,1,1,Mild,184.4326,196.292,177.2773,7.3181,7.0775,7.3708,50.4424,27.1641,196.8516,19.7744,10.8369,6.5461,190.5771,4.8988,185,175,195,1
109,Leukocytes,Trace,1,1,Mild,193.1846,152.748,200.7139,7.1676,7.1779,7.2809,145.6104,62.2227,202.2246,6.0621,10.7046,6.3482,170.3018,4.8426,185,175,195,0
110,Leukocytes,Trace,1,1,Mild,174.1768,166.1826,214.9727,7.2228,7.2339,7.3622,124.6182,59.1885,214.9727,5.8956,10.1457,7.3622,174.1426,4.8321,185,175,195,0
111,Leukocytes,Trace,1,1,Mild,187.1182,192.1201,192.0498,7.4016,7.285,7.0801,89.9043,17.4453,197.1699,41.8009,7.7786,4.9547,190.6211,4.8733,185,175,195,1
112,Leukocytes,Trace,1,1,Mild,203.7734,167.2158,220.2568,2.8259,2.7356,2.6757,140.7285,61.3477,220.2568,2.0162,3.9273,2.6757,184.207,1.8609,185,175,195,0
113,Leukocytes,Trace,1,1,Mild,167.0146,197.5186,196.918,7.3679,7.1493,7.3087,89.501,43.2617,201.3066,8.7708,11.2853,6.0217,188.3223,4.8416,185,175,195,0
114,Leukocytes,Trace,1,1,Mild,199.7393,181.8105,214.0107,7.0188,7.0689,7.1098,136.9658,38.5,214.2969,9.1119,10.908,6.8113,190.833,4.7206,185,175,195,0
115,Leukocytes,Trace,1,1,Mild,192.1172,164.8066,196.0898,7.2046,7.0396,7.3636,146.6797,43.2666,198.6807,9.2416,11.3897,6.0924,176.5156,4.6542,185,175,195,1
116,Leukocytes,Trace,1,1,Mild,207.7793,190.0342,183.4199,7.0803,7.2983,7.1741,54.9395,31.8828,207.8896,69.8144,10.454,6.9444,194.5928,4.744,185,175,195,0
117,Leukocytes,Trace,1,1,Mild,183.0967,167.5137,213.7832,7.1709,7.1821,7.2978,129.8613,55.2266,213.7832,6.2748,10.7066,7.2978,177.4473,4.745,185,175,195,0
118,Leukocytes,Trace,1,1,Mild,196.7812,158.7812,190.0195,7.2435,7.2246,7.022,154.8838,50.8076,198.4717,7.627,11.0361,6.2265,173.6836,4.922,185,175,195,0
119,Leukocytes,Trace,1,1,Mild,161.415,164.0166,175.9062,7.1138,7.164,7.0853,111.832,26.0498,176.6084,26.0486,11.2766,6.408,164.5801,4.789,185,175,195,1
120,Leukocytes,Small,2,2,Moderate,196.7178,142.7275,194.9678,7.4502,7.1719,7.4039,150.8848,72.9775,200.1426,5.2755,10.7869,6.1474,164.8262,4.8526,175,150,175,1
121,Leukocytes,Small,2,2,Moderate,164.1465,140.7383,152.3291,6.9171,7.0117,7.3236,137.2793,37.793,164.6982,56.7131,13.0228,6.4028,149.082,4.7297,175,150,175,1
122,Leukocytes,Small,2,2,Moderate,189.9688,164.9424,187.2734,7.2615,7.3398,7.228,151.2412,36.7822,192.9004,17.964,11.6492,5.9495,174.9746,4.9811,175,150,175,1
123,Leukocytes,Small,2,2,Moderate,181.9893,147.9551,199.1328,7.1403,7.1526,7.0822,140.1523,65.4004,199.2295,5.3817,10.9159,6.9631,163.9785,4.9281,175,150,175,0
124,Leukocytes,Small,2,2,Moderate,181.9316,151.8818,190.3516,7.1422,7.0834,7.2893,143.8545,52.5957,191.5791,7.4115,11.6593,6.4141,165.25,4.7985,175,150,175,0
125,Leukocytes,Small,2,2,Moderate,180.8184,157.6709,162.7979,7.2205,7.4367,7.3071,115.0996,35.3506,180.9043,74.4267,12.2192,7.1105,165.1777,5.028,175,150,175,0
126,Leukocytes,Small,2,2,Moderate,184.9785,171.7842,176.7002,7.1147,7.514,7.2169,108.2529,23.3066,186.4717,66.9115,10.0225,5.9471,176.2852,5.0073,175,150,175,1
127,Leukocytes,Small,2,2,Moderate,157.9277,152.0762,199.1523,7.1744,7.1377,7.1741,123.4609,62.3672,199.1523,5.9604,10.7601,7.1741,159.2188,4.7591,175,150,175,1
128,Leukocytes,Small,2,2,Moderate,189.1562,174.8994,163.2002,7.1437,7.1877,7.1811,37.6543,35.9854,189.5156,53.9816,11.7452,6.7685,177.8154,4.7488,175,150,175,0
129,Leukocytes,Small,2,2,Moderate,177.9375,151.875,160.1816,7.2534,7.0592,7.2119,129.0537,38.7715,178.0107,67.6591,12.4408,7.1576,160.6162,4.7709,175,150,175,1
130,Leukocytes,Small,2,2,Moderate,182.3115,149.3525,171.0303,7.4034,7.3693,7.3027,157.6299,46.6523,183.041,19.8728,12.9305,6.7759,161.6787,4.9327,175,150,175,0
131,Leukocytes,Small,2,2,Moderate,195.9756,138.876,156.1855,7.3121,7.2564,7.1908,161.9434,74.1699,195.9756,37.4102,11.4641,7.3121,157.917,4.9322,175,150,175,0
132,Leukocytes,Small,2,2,Moderate,161.7178,136.6045,180.1621,7.111,7.1914,7.2445,137.4492,61.4424,180.25,6.525,12.713,7.1321,149.0879,4.8168,175,150,175,1
133,Leukocytes,Small,2,2,Moderate,192.1055,159.0713,168.0977,7.1843,7.2887,7.2526,132.6738,45.0908,192.1055,67.9489,11.7135,7.1843,169.9785,4.8173,175,150,175,0
134,Leukocytes,Small,2,2,Moderate,184.0234,139.834,172.9893,7.1766,7.305,7.201,157.2031,61.7559,184.7676,6.558,12.5019,6.5593,156.8154,4.7777,175,150,175,1
135,Leukocytes,Small,2,2,Moderate,183.2158,165.9248,185.0352,2.8551,3.1186,2.79,147.457,27.2803,185.8223,5.811,5.328,2.3815,173.2637,2.036,175,150,175,0
136,Leukocytes,Small,2,2,Moderate,183.0977,169.9277,198.9355,7.135,7.4197,7.3081,133.3193,37.6865,199.1094,10.6199,11.855,7.1084,177.1768,4.8989,175,150,175,1
137,Leukocytes,Small,2,2,Moderate,159.252,171.7197,163.8945,7.3075,7.2394,7.2291,73.4746,24.0811,173.3252,29.2475,11.1144,6.011,167.0928,4.9357,175,150,175,0
138,Leukocytes,Small,2,2,Moderate,160.8545,164.9043,167.7627,7.0836,7.3295,7.1824,96.1768,20.46,171.4111,39.813,9.0857,5.2438,164.0234,4.8699,175,150,175,1
139,Leukocytes,Small,2,2,Moderate,178.4277,146.5859,190.0781,7.1566,7.1014,6.9979,142.291,58.792,190.7285,6.6959,11.5421,6.4249,161.0732,4.73,175,150,175,0
140,Leukocytes,Small,2,2,Moderate,165.9932,145.0684,173.0742,7.3122,7.1915,7.2838,142.9834,42.9697,174.6641,10.8185,12.9629,6.2564,154.5303,4.8951,175,150,175,0
